Foster Provost,https://scholar.google.com//citations?hl=en&user=-Km63D4AAAAJ,"Professor, New York University",29056,"['machine learning', 'information systems', 'data mining', 'kdd', 'parallel processing']","['/citations?hl=en&view_op=search_authors&mauthors=label:machine_learning', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:data_mining', '/citations?hl=en&view_op=search_authors&mauthors=label:kdd', '/citations?hl=en&view_op=search_authors&mauthors=label:parallel_processing']"
Helmut Krcmar,https://scholar.google.com//citations?hl=en&user=zwax5qkAAAAJ,"Professor of Information Systems, Technische Universität München",28963,"['Information Systems', 'Information Management', 'eGovernment', 'open Innovation', 'Mergers&Acquisitions and IT']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:information_management', '/citations?hl=en&view_op=search_authors&mauthors=label:egovernment', '/citations?hl=en&view_op=search_authors&mauthors=label:open_innovation', '/citations?hl=en&view_op=search_authors&mauthors=label:mergers%26acquisitions_and_it']"
Rudy Hirschheim,https://scholar.google.com//citations?hl=en&user=tcwCJ_oAAAAJ,"Professor of Information Systems, LSU",27877,['information systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Richard Heeks,https://scholar.google.com//citations?hl=en&user=Iazl9wYAAAAJ,"Chair, Digital Development, University of Manchester",27616,"['ICT4D', 'Development Informatics', 'Information Systems', 'Development Studies', 'Digital Development']","['/citations?hl=en&view_op=search_authors&mauthors=label:ict4d', '/citations?hl=en&view_op=search_authors&mauthors=label:development_informatics', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:development_studies', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_development']"
HR Rao,https://scholar.google.com//citations?hl=en&user=y1pwDooAAAAJ,"Department of Information Systems and Cyber Security, University of Texas at San Antonio",27185,"['Information Systems', 'Information Assurance', 'Cybersecurity', 'disaster management', 'privacy']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:information_assurance', '/citations?hl=en&view_op=search_authors&mauthors=label:cybersecurity', '/citations?hl=en&view_op=search_authors&mauthors=label:disaster_management', '/citations?hl=en&view_op=search_authors&mauthors=label:privacy']"
Professor Zahir Irani,https://scholar.google.com//citations?hl=en&user=oCNglMAAAAAJ,"Deputy Vice-Chancellor, University of Bradford",26958,"['Operations Management', 'Information Systems', 'AI']","['/citations?hl=en&view_op=search_authors&mauthors=label:operations_management', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:ai']"
Richard Baskerville,https://scholar.google.com//citations?hl=en&user=ejL7gPcAAAAJ,"Professor of Information Systems, Georgia State University",26874,"['Information Systems Security', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems_security', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Kevin Crowston,https://scholar.google.com//citations?hl=en&user=QlxRjroAAAAJ,"Distinguished Professor of Information Science, Syracuse University",26191,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Arun Rai,https://scholar.google.com//citations?hl=en&user=saFD-H8AAAAJ,Georgia State University,25396,"['Digital Innovation', 'Digital Transformation', 'Digital Platforms', 'Information Systems', 'IT Business Value']","['/citations?hl=en&view_op=search_authors&mauthors=label:digital_innovation', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_transformation', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_platforms', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:it_business_value']"
Thompson Teo,https://scholar.google.com//citations?hl=en&user=qXgDkJAAAAAJ,National University of Singapore,25371,['information systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
KK Wei,https://scholar.google.com//citations?hl=en&user=guwEcjAAAAAJ,Singapore Institute of Management,25304,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Blake Ives,https://scholar.google.com//citations?hl=en&user=r9_uGdwAAAAJ,College of Charleston,24670,"['Information systems', 'Information technology']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:information_technology']"
