Marc TP Adam,https://scholar.google.com//citations?hl=en&user=3ieFv2sAAAAJ,"The University of Newcastle, Australia",2767,"['Human-Centred Computing', 'Human-Computer Interaction', 'Information Systems', 'Electronic Commerce', 'NeuroIS']","['/citations?hl=en&view_op=search_authors&mauthors=label:human_centred_computing', '/citations?hl=en&view_op=search_authors&mauthors=label:human_computer_interaction', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:electronic_commerce', '/citations?hl=en&view_op=search_authors&mauthors=label:neurois']"
James Pick,https://scholar.google.com//citations?hl=en&user=wPqUs98AAAAJ,University of Redlands,2763,"['Information Systems', 'GIS', 'Population', 'Urban Studies', 'Renewable Energy']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:gis', '/citations?hl=en&view_op=search_authors&mauthors=label:population', '/citations?hl=en&view_op=search_authors&mauthors=label:urban_studies', '/citations?hl=en&view_op=search_authors&mauthors=label:renewable_energy']"
Carlos J. Costa,https://scholar.google.com//citations?hl=en&user=CpxIHn0AAAAJ,ISEG (Lisbon School of Economics & Management) Universidade de Lisboa,2746,"['Information Systems', 'Gamification', 'Data Science', 'Data Science and Management', 'Machine Learning for Finance']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:gamification', '/citations?hl=en&view_op=search_authors&mauthors=label:data_science', '/citations?hl=en&view_op=search_authors&mauthors=label:data_science_and_management', '/citations?hl=en&view_op=search_authors&mauthors=label:machine_learning_for_finance']"
William Yeoh,https://scholar.google.com//citations?hl=en&user=n7_rC4wAAAAJ,Deakin University,2745,"['Business Analytics', 'Business Intelligence', 'Cyber Security', 'Artificial Intelligence', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:business_analytics', '/citations?hl=en&view_op=search_authors&mauthors=label:business_intelligence', '/citations?hl=en&view_op=search_authors&mauthors=label:cyber_security', '/citations?hl=en&view_op=search_authors&mauthors=label:artificial_intelligence', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Mohit Arora,https://scholar.google.com//citations?hl=en&user=A9jRQdwAAAAJ,"PhD Student, University of Maryland Baltimore County",2736,"['Information Systems', 'Social Interactions in E-learning', 'Health Informatics']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:social_interactions_in_e_learning', '/citations?hl=en&view_op=search_authors&mauthors=label:health_informatics']"
Jai-Yeol Son,https://scholar.google.com//citations?hl=en&user=8L78JlgAAAAJ,"Professor of Information Systems, School of Business, Yonsei Univ.",2731,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Narasimhaiah Gorla,https://scholar.google.com//citations?hl=en&user=a5fbziwAAAAJ,"Professor of Management Information Systems, American University of Ras Al Khaimah",2730,"['Information Systems', 'Database Management', 'Systems Development']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:database_management', '/citations?hl=en&view_op=search_authors&mauthors=label:systems_development']"
Thomas Gattiker,https://scholar.google.com//citations?hl=en&user=q9sg3wIAAAAJ,Boise State University,2729,"['Business', 'supply chain management', 'operations management', 'Information systems', 'sustainability']","['/citations?hl=en&view_op=search_authors&mauthors=label:business', '/citations?hl=en&view_op=search_authors&mauthors=label:supply_chain_management', '/citations?hl=en&view_op=search_authors&mauthors=label:operations_management', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:sustainability']"
Zhiping Walter,https://scholar.google.com//citations?hl=en&user=ifiEAAEAAAAJ,University of Colorado Denver,2720,"['Information systems', 'technology adoption', 'innovation', 'compliance']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:technology_adoption', '/citations?hl=en&view_op=search_authors&mauthors=label:innovation', '/citations?hl=en&view_op=search_authors&mauthors=label:compliance']"
Ibrahim ARPACI,https://scholar.google.com//citations?hl=en&user=rFAIcLwAAAAJ,"Assoc. Prof. (Bandirma Onyedi Eylul University, Software Engineering)",2718,"['Information Systems', 'Cyberpsychology', 'Educational Technology']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:cyberpsychology', '/citations?hl=en&view_op=search_authors&mauthors=label:educational_technology']"
Anne Persson,https://scholar.google.com//citations?hl=en&user=RfhRuRQAAAAJ,"Professor of Informatics, University of Skövde, Sweden",2717,"['Information Systems', 'Requirements Engineering', 'Enterprise Modeling', 'Conceptual Modeling', 'Health Informatics']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:requirements_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:enterprise_modeling', '/citations?hl=en&view_op=search_authors&mauthors=label:conceptual_modeling', '/citations?hl=en&view_op=search_authors&mauthors=label:health_informatics']"
"Neset Hikmet, Ph.D.",https://scholar.google.com//citations?hl=en&user=3DwchWAAAAAJ,"College of Engineering and Computing, University of South Carolina",2706,"['Health Information Technology', 'Health Informatics', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:health_information_technology', '/citations?hl=en&view_op=search_authors&mauthors=label:health_informatics', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Henner Gimpel,https://scholar.google.com//citations?hl=en&user=931NpjQAAAAJ,"University of Hohenheim, Germany",2701,"['information systems', 'digital transformation', 'human-computer interaction', 'collective intelligence', 'digital health']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_transformation', '/citations?hl=en&view_op=search_authors&mauthors=label:human_computer_interaction', '/citations?hl=en&view_op=search_authors&mauthors=label:collective_intelligence', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_health']"
Kailash Joshi,https://scholar.google.com//citations?hl=en&user=DAzGBewAAAAJ,Professor of Information Systems,2701,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Ricardo J. Machado,https://scholar.google.com//citations?hl=en&user=B5o2fegAAAAJ,Full Professor | Universidade do Minho,2687,"['Information Systems', 'Software Engineering', 'Software Quality', 'Project Management']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:software_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:software_quality', '/citations?hl=en&view_op=search_authors&mauthors=label:project_management']"
Ramzi El-Haddadeh,https://scholar.google.com//citations?hl=en&user=YEaouOMAAAAJ,"Professor of Information Systems, Qatar University",2665,"['Digital Innovation', 'IT Value', 'Applied Business Analytics', 'AI Strategy', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:digital_innovation', '/citations?hl=en&view_op=search_authors&mauthors=label:it_value', '/citations?hl=en&view_op=search_authors&mauthors=label:applied_business_analytics', '/citations?hl=en&view_op=search_authors&mauthors=label:ai_strategy', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
"Gang Wang, Professor",https://scholar.google.com//citations?hl=en&user=V0Og2XEAAAAJ,"School of Management, HeFei Universtiy of Technology",2662,"['Business Intelligence', 'Data Mining', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:business_intelligence', '/citations?hl=en&view_op=search_authors&mauthors=label:data_mining', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Mark Burgess,https://scholar.google.com//citations?hl=en&user=EmeQ1ywAAAAJ,Emeritus of Oslo University College,2658,"['Information systems', 'dynamics', 'applied and theory (physics and computer\xa0…']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:dynamics', '/citations?hl=en&view_op=search_authors&mauthors=label:applied_and_theory_physics_and_computer_science']"
Patrick Finnegan,https://scholar.google.com//citations?hl=en&user=03CEzCsAAAAJ,"University of New South Wales, Sydney, Australia",2641,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Mahmood Hussain Shah,https://scholar.google.com//citations?hl=en&user=PFWGeeoAAAAJ,"Associate Professor in Information Management, Newcastle Business School, Northumbria …",2627,"['Information Security', 'Identity Theft Prevention', 'Cyber Crimes', 'Information Systems', 'Health Informatics']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_security', '/citations?hl=en&view_op=search_authors&mauthors=label:identity_theft_prevention', '/citations?hl=en&view_op=search_authors&mauthors=label:cyber_crimes', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:health_informatics']"
Xianjin Zha,https://scholar.google.com//citations?hl=en&user=vrOTu3YAAAAJ,Wuhan University,2619,"['information resources management', 'information behavior', 'information analysis', 'information systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_resources_management', '/citations?hl=en&view_op=search_authors&mauthors=label:information_behavior', '/citations?hl=en&view_op=search_authors&mauthors=label:information_analysis', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Marko Bajec,https://scholar.google.com//citations?hl=en&user=ixQ7Ti8AAAAJ,Full Professor at Faculty of Computer & Information Science,2615,"['Computer Science', 'Information Systems', 'Software Engineering', 'Software Process', 'Data Analysis']","['/citations?hl=en&view_op=search_authors&mauthors=label:computer_science', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:software_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:software_process', '/citations?hl=en&view_op=search_authors&mauthors=label:data_analysis']"
Francisco Jose Martinez Lopez,https://scholar.google.com//citations?hl=en&user=khvobk4AAAAJ,Universidad de Huelva,2614,"['Information Systems', 'E-business', 'Future Studies']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:e_business', '/citations?hl=en&view_op=search_authors&mauthors=label:future_studies']"
Gregory Wood,https://scholar.google.com//citations?hl=en&user=iCv2xrsAAAAJ,"Professor of Marketing & Information Systems, Canisius College",2611,"['marketing', 'social media', 'technology', 'information systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:marketing', '/citations?hl=en&view_op=search_authors&mauthors=label:social_media', '/citations?hl=en&view_op=search_authors&mauthors=label:technology', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
RB Mellor,https://scholar.google.com//citations?hl=en&user=4q0Q7N8AAAAJ,"Kingston University, Computing & Maths",2609,"['computer modelling', 'big data', 'information systems', 'molecular machines', 'plant microbe interaction']","['/citations?hl=en&view_op=search_authors&mauthors=label:computer_modelling', '/citations?hl=en&view_op=search_authors&mauthors=label:big_data', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:molecular_machines', '/citations?hl=en&view_op=search_authors&mauthors=label:plant_microbe_interaction']"
Dr.Meenakshi Gupta,https://scholar.google.com//citations?hl=en&user=ELgBvawAAAAJ,"Senior Assistant Professor,GGSIPU",2605,"['Information systems', 'Artificial Intelligence', 'Data Mining and HR Practices in IT Industry']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:artificial_intelligence', '/citations?hl=en&view_op=search_authors&mauthors=label:data_mining_and_hr_practices_in_it_industry']"
Gerald G. Grant,https://scholar.google.com//citations?hl=en&user=MiEdojEAAAAJ,"Professor, Carleton University",2604,"['Information Systems', 'innovation', 'electronic government', 'Healthcare IT', 'IT Governance']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:innovation', '/citations?hl=en&view_op=search_authors&mauthors=label:electronic_government', '/citations?hl=en&view_op=search_authors&mauthors=label:healthcare_it', '/citations?hl=en&view_op=search_authors&mauthors=label:it_governance']"
Ravi Aron,https://scholar.google.com//citations?hl=en&user=nNywLUMAAAAJ,Bauer College of Business,2599,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Ramakrishna Ayyagari,https://scholar.google.com//citations?hl=en&user=6w5Xfw8AAAAJ,University of Massachusetts Boston,2585,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Jingguo Wang,https://scholar.google.com//citations?hl=en&user=QGCPdNcAAAAJ,"Professor of Information Systems, University of Texas at Arlington",2564,"['Information Security', 'Cybercrime', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_security', '/citations?hl=en&view_op=search_authors&mauthors=label:cybercrime', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
PDDDominic,https://scholar.google.com//citations?hl=en&user=In0QqJUAAAAJ,Universiti Teknologi PETRONAS,2559,['information systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Dr. Carmen De-Pablos-Heredero (ORCID: 0000-0003-0457-3730),https://scholar.google.com//citations?hl=en&user=PZ-2YvYAAAAJ,Full Professor in Management. Universidad Rey Juan Carlos,2555,"['Business Organization', 'Information Systems', 'Relational Coordination', 'change management']","['/citations?hl=en&view_op=search_authors&mauthors=label:business_organization', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:relational_coordination', '/citations?hl=en&view_op=search_authors&mauthors=label:change_management']"
Daniel Beverungen,https://scholar.google.com//citations?hl=en&user=sglWFe8AAAAJ,"Prof. Dr., Paderborn University",2551,"['Service Science', 'Business Process Management', 'Information Systems', 'Digital Transformation']","['/citations?hl=en&view_op=search_authors&mauthors=label:service_science', '/citations?hl=en&view_op=search_authors&mauthors=label:business_process_management', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_transformation']"
Chandrasekar Subramaniam,https://scholar.google.com//citations?hl=en&user=zx20nb0AAAAJ,"Associate Professor of MIS and Business Analytics, UNC Charlotte",2538,"['Information Systems', 'Business Analytics', 'E-Commerce']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:business_analytics', '/citations?hl=en&view_op=search_authors&mauthors=label:e_commerce']"
Bernard Grabot,https://scholar.google.com//citations?hl=en&user=4bFyxvIAAAAJ,"Professor, Industrial Engineering",2537,"['artificial intelligence', 'planning and scheduling', 'information systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:artificial_intelligence', '/citations?hl=en&view_op=search_authors&mauthors=label:planning_and_scheduling', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Sander JJ Leemans,https://scholar.google.com//citations?hl=en&user=5_gCz9oAAAAJ,RWTH University,2537,"['Business process mining', 'information systems', '#bpm@QUT']","['/citations?hl=en&view_op=search_authors&mauthors=label:business_process_mining', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:bpm_qut']"
Jouni Markkula,https://scholar.google.com//citations?hl=en&user=z8J9hcIAAAAJ,"Professor, University of Oulu",2536,"['Computer Science', 'Software Engineering', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:computer_science', '/citations?hl=en&view_op=search_authors&mauthors=label:software_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Cynthia  P. Ruppel,https://scholar.google.com//citations?hl=en&user=Q2PVW4UAAAAJ,"Professor Emeritus, Nova Southeastern University",2524,"['Information Systems', 'innovation adoption and diffusion', 'e-collaboration', 'virtuality', 'analytics']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:innovation_adoption_and_diffusion', '/citations?hl=en&view_op=search_authors&mauthors=label:e_collaboration', '/citations?hl=en&view_op=search_authors&mauthors=label:virtuality', '/citations?hl=en&view_op=search_authors&mauthors=label:analytics']"
Carlo Meghini,https://scholar.google.com//citations?hl=en&user=hezUvmAAAAAJ,"Director of Research, CNR ISTI",2512,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Gary SC Pan,https://scholar.google.com//citations?hl=en&user=Es7LaTAAAAAJ,Singapore Management University,2491,"['Information Systems', 'Accounting Information Systems', 'Corporate Governance']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:accounting_information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:corporate_governance']"
Antonio L. Furtado,https://scholar.google.com//citations?hl=en&user=axkOp4QAAAAJ,Professor da PUC-Rio,2484,"['Databases', 'Information Systems', 'Digital Entertainment', 'Medieval Literature']","['/citations?hl=en&view_op=search_authors&mauthors=label:databases', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_entertainment', '/citations?hl=en&view_op=search_authors&mauthors=label:medieval_literature']"
Pierluigi Plebani,https://scholar.google.com//citations?hl=en&user=FUdUWB4AAAAJ,Politecnico di Milano,2472,"['Information Systems', 'Blockchain', 'Business Process Management', 'Business Process Monitoring', 'Data management in fog computing']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:blockchain', '/citations?hl=en&view_op=search_authors&mauthors=label:business_process_management', '/citations?hl=en&view_op=search_authors&mauthors=label:business_process_monitoring', '/citations?hl=en&view_op=search_authors&mauthors=label:data_management_in_fog_computing']"
Amit Basu,https://scholar.google.com//citations?hl=en&user=FiRXdEsAAAAJ,"Professor, Cox School of Business, Southern Methodist University",2469,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Sean B. Maynard,https://scholar.google.com//citations?hl=en&user=OkNuF20AAAAJ,School of Computing and Information Systems at the University of Melbourne,2465,"['Cyber Security', 'Information Security Management', 'Incident Response', 'Security Management', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:cyber_security', '/citations?hl=en&view_op=search_authors&mauthors=label:information_security_management', '/citations?hl=en&view_op=search_authors&mauthors=label:incident_response', '/citations?hl=en&view_op=search_authors&mauthors=label:security_management', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Sebastian K Boell (Böll),https://scholar.google.com//citations?hl=en&user=gEKg8gwAAAAJ,"Business Information Systems (BIS), The University of Sydney Business School",2453,"['Information Systems', 'Information', 'Literature Reviews', 'Bibliometrics', 'Organizational History']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:information', '/citations?hl=en&view_op=search_authors&mauthors=label:literature_reviews', '/citations?hl=en&view_op=search_authors&mauthors=label:bibliometrics', '/citations?hl=en&view_op=search_authors&mauthors=label:organizational_history']"
Yasmin Merali,https://scholar.google.com//citations?hl=en&user=1ZSD4PYAAAAJ,"Professor of Systems Thinking,Hull University Business School; Director Centre for Systems …",2436,"['Complex Adaptive Systems', 'Socio-economic Systems', 'Social Networks and Social Media', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:complex_adaptive_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:socio_economic_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:social_networks_and_social_media', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Isabelle WATTIAU,https://scholar.google.com//citations?hl=en&user=v-aZiNsAAAAJ,ESSEC,2420,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Saša Baškarada,https://scholar.google.com//citations?hl=en&user=ABpEgPWKC8AC,"Amazon Web Services (AWS), University of New South Wales (UNSW)",2409,"['digital transformation', 'information systems', 'management', 'organization science', 'methodology']","['/citations?hl=en&view_op=search_authors&mauthors=label:digital_transformation', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:management', '/citations?hl=en&view_op=search_authors&mauthors=label:organization_science', '/citations?hl=en&view_op=search_authors&mauthors=label:methodology']"
Alex Ivanov,https://scholar.google.com//citations?hl=en&user=gUwFw5sAAAAJ,"Associate Professor, Shanghai Jiao Tong University",2401,"['Interface design', 'Information systems', 'Communication', 'Satisfaction', 'Electronic brainstorming']","['/citations?hl=en&view_op=search_authors&mauthors=label:interface_design', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:communication', '/citations?hl=en&view_op=search_authors&mauthors=label:satisfaction', '/citations?hl=en&view_op=search_authors&mauthors=label:electronic_brainstorming']"
Zainal A. Hasibuan,https://scholar.google.com//citations?hl=en&user=tpzw4SgAAAAJ,"Professor of Computer Science, University of Indonesia",2401,"['Information Retrieval', 'E-business', 'E-learning', 'E-government', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_retrieval', '/citations?hl=en&view_op=search_authors&mauthors=label:e_business', '/citations?hl=en&view_op=search_authors&mauthors=label:e_learning', '/citations?hl=en&view_op=search_authors&mauthors=label:e_government', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
David Tilson,https://scholar.google.com//citations?hl=en&user=YotvJgIAAAAJ,"Simon Business School, University of Rochester",2373,"['Information Systems', 'Digital Infrastructure', 'Standards']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_infrastructure', '/citations?hl=en&view_op=search_authors&mauthors=label:standards']"
PDDDominic,https://scholar.google.com//citations?hl=en&user=mKi4P7AAAAAJ,"Associate professor, universiti teknologi petronas",2371,['Information systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Kim Moon Koo,https://scholar.google.com//citations?hl=en&user=B0iD3UcAAAAJ,ETRI,2368,"['Information systems', 'Management of Technology', 'Innovation', 'Big data', 'Artificial Intelligence']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:management_of_technology', '/citations?hl=en&view_op=search_authors&mauthors=label:innovation', '/citations?hl=en&view_op=search_authors&mauthors=label:big_data', '/citations?hl=en&view_op=search_authors&mauthors=label:artificial_intelligence']"
G. Baciu,https://scholar.google.com//citations?hl=en&user=3fcQao8AAAAJ,"Professor, Department of Computing, The Hong Kong Polytechnic University",2368,"['Visualization', 'Information Systems', 'Cognitive Computing']","['/citations?hl=en&view_op=search_authors&mauthors=label:visualization', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:cognitive_computing']"
Alekh Jindal,https://scholar.google.com//citations?hl=en&user=f5vdXEQAAAAJ,"Founding Chief Architect, Keebo",2363,"['Database Systems', 'Information Systems', 'Cloud Computing']","['/citations?hl=en&view_op=search_authors&mauthors=label:database_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:cloud_computing']"
Francois Ehrenmann,https://scholar.google.com//citations?hl=en&user=Aub3aT0AAAAJ,UMR 1202 BIOGECO - INRAE,2363,"['Genetics', 'Genomics', 'Forest Trees', 'Information systems', 'databases']","['/citations?hl=en&view_op=search_authors&mauthors=label:genetics', '/citations?hl=en&view_op=search_authors&mauthors=label:genomics', '/citations?hl=en&view_op=search_authors&mauthors=label:forest_trees', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:databases']"
Desai Narasimhalu,https://scholar.google.com//citations?hl=en&user=rXMWm6YAAAAJ,"Adjunct Professor, Singapore Management University",2360,"['Innovation', 'Entrepreneurship', 'Information Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:innovation', '/citations?hl=en&view_op=search_authors&mauthors=label:entrepreneurship', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']"
Maizatul Akmar Ismail,https://scholar.google.com//citations?hl=en&user=gdD6DL0AAAAJ,University of Malaya,2358,"['Information Systems', 'Opinion Mining', 'Recommendation Systems']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:opinion_mining', '/citations?hl=en&view_op=search_authors&mauthors=label:recommendation_systems']"
Frank Kappe,https://scholar.google.com//citations?hl=en&user=OGG4eAUAAAAJ,"Professor of Computer Science, Graz University of Technology",2353,"['Information Systems', 'Hypermedia', 'Virtual Worlds', 'Virtual Goods', 'Digital Ecosystems']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:hypermedia', '/citations?hl=en&view_op=search_authors&mauthors=label:virtual_worlds', '/citations?hl=en&view_op=search_authors&mauthors=label:virtual_goods', '/citations?hl=en&view_op=search_authors&mauthors=label:digital_ecosystems']"
George Heliotis,https://scholar.google.com//citations?hl=en&user=ZzQzrMgAAAAJ,"Programme Leader / Senior Lecturer, Metropolitan College",2351,"['Data Networks', 'Optical Communications', 'Telecommunications', 'Information Systems', 'IoT']","['/citations?hl=en&view_op=search_authors&mauthors=label:data_networks', '/citations?hl=en&view_op=search_authors&mauthors=label:optical_communications', '/citations?hl=en&view_op=search_authors&mauthors=label:telecommunications', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:iot']"
Raimundas Matulevičius,https://scholar.google.com//citations?hl=en&user=2CN14WkAAAAJ,"Professor, University of Tartu",2344,"['Information Systems', 'Software Engineering', 'Requirements Engineering', 'Security Engineering', '#unitartucs']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:software_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:requirements_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:security_engineering', '/citations?hl=en&view_op=search_authors&mauthors=label:unitartucs']"
Hannu Salminen,https://scholar.google.com//citations?hl=en&user=ylQKfo4AAAAJ,"researcher, Luke (Natural Resources Institute Finland)",2324,"['forest growth and yield', 'dendroecology', 'statistical modeling', 'information systems', 'system engineering']","['/citations?hl=en&view_op=search_authors&mauthors=label:forest_growth_and_yield', '/citations?hl=en&view_op=search_authors&mauthors=label:dendroecology', '/citations?hl=en&view_op=search_authors&mauthors=label:statistical_modeling', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:system_engineering']"
Pedro Antunes,https://scholar.google.com//citations?hl=en&user=MBIvX78AAAAJ,"LASIGE, Faculdade de Ciências, Universidade de Lisboa / University of Lisbon, Faculty of …",2323,"['Information Systems', 'Design Science', 'Business Process Management', 'Storytelling', 'Lightweight Modeling']","['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:design_science', '/citations?hl=en&view_op=search_authors&mauthors=label:business_process_management', '/citations?hl=en&view_op=search_authors&mauthors=label:storytelling', '/citations?hl=en&view_op=search_authors&mauthors=label:lightweight_modeling']"
Lih-Bin Oh,https://scholar.google.com//citations?hl=en&user=YBhafgUAAAAJ,National University of Singapore,2313,['Information Systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
Leif Skiftenes Flak,https://scholar.google.com//citations?hl=en&user=ihKUd5QAAAAJ,"University of Agder, Norway",2309,"['Digital transformation', 'Information systems', 'eGovernment', 'stakeholder theory', 'benefits realization']","['/citations?hl=en&view_op=search_authors&mauthors=label:digital_transformation', '/citations?hl=en&view_op=search_authors&mauthors=label:information_systems', '/citations?hl=en&view_op=search_authors&mauthors=label:egovernment', '/citations?hl=en&view_op=search_authors&mauthors=label:stakeholder_theory', '/citations?hl=en&view_op=search_authors&mauthors=label:benefits_realization']"
Phil O'Reilly,https://scholar.google.com//citations?hl=en&user=X356AcgAAAAJ,UCC,2307,['Information systems'],['/citations?hl=en&view_op=search_authors&mauthors=label:information_systems']
